variable,category_value,total_count,category_rate,high_income_count,high_income_rate_within_group,share_of_all_high_income,is_rare
native-country,Ireland,24,0.0007376217844300335,5,0.20833333333333334,0.0006378364587319811,True
native-country,Italy,73,0.0022435995943080184,25,0.3424657534246575,0.0031891822936599055,True
native-country,Jamaica,81,0.002489473522451363,10,0.12345679012345678,0.0012756729174639623,True
native-country,Japan,62,0.0019055229431109199,24,0.3870967741935484,0.0030616150019135095,True
native-country,Laos,18,0.0005532163383225251,2,0.1111111111111111,0.00025513458349279245,True
native-country,Mexico,639,0.01963918001044964,33,0.051643192488262914,0.004209720627631076,False
native-country,Nicaragua,34,0.0010449641946092142,2,0.058823529411764705,0.00025513458349279245,True
native-country,Outlying-US(Guam-USVI-etc),14,0.0004302793742508529,0,0.0,0.0,True
native-country,Peru,31,0.0009527614715554599,2,0.06451612903225806,0.00025513458349279245,True
native-country,Philippines,198,0.0060853797215477765,61,0.30808080808080807,0.00778160479653017,False
native-country,Poland,60,0.0018440544610750838,12,0.2,0.0015308075009567547,True
native-country,Portugal,37,0.0011371669176629684,4,0.10810810810810811,0.0005102691669855849,True
native-country,Puerto-Rico,114,0.0035037034760426592,12,0.10526315789473684,0.0015308075009567547,False
native-country,Scotland,12,0.0003688108922150167,3,0.25,0.0003827018752391887,True
native-country,South,80,0.002458739281433445,16,0.2,0.0020410766679423396,True
native-country,Taiwan,51,0.0015674462919138211,20,0.39215686274509803,0.0025513458349279245,True
native-country,Thailand,18,0.0005532163383225251,3,0.16666666666666666,0.0003827018752391887,True
native-country,Trinadad&Tobago,19,0.0005839505793404432,2,0.10526315789473684,0.00025513458349279245,True
native-country,United-States,29153,0.8959953283953653,7169,0.24590951188556923,0.9145299145299145,False
native-country,Vietnam,67,0.0020591941482005103,5,0.07462686567164178,0.0006378364587319811,True
native-country,Yugoslavia,16,0.000491747856286689,6,0.375,0.0007654037504783774,True
